status,Amount,Rate
Call back,279,5.963 %
Not interested,417,8.912 %
No answer,435,9.297 %
Wrong number,43,0.919 %
In the money,51,1.090 %
Do not call,20,0.427 %
Pending,9,0.192 %
NO_ANSWER,23,0.492 %
FollowUp,154,3.291 %
INVALID_COUNTRY,1,0.021 %
NO_INTEREST,10,0.214 %
Noanswer5,2,0.043 %
Junk,11,0.235 %
BNointerest,3,0.064 %
Noanswer,17,0.363 %
INVALID,1,0.021 %
NoAnswer,178,3.804 %
CALLBACK,7,0.150 %
WRONG_NUMBER,5,0.107 %
NEW,469,10.024 %
DO_NOT_CALL,2,0.043 %
NO_MONEY,2,0.043 %
Noanswer13,3,0.064 %
Noanswer3,1,0.021 %
DoNotCall,21,0.449 %
New,14,0.299 %
Disqualified,41,0.876 %
Test,17,0.363 %
Noanswer2,1,0.021 %
NotInterested,35,0.748 %
Cancelled,14,0.299 %
WrongNumber,3,0.064 %
NEWNA,1,0.021 %
NEVER_ANSWER,5,0.107 %
FollowupAgentDecline,1,0.021 %
NoanswerNoanswer,6,0.128 %
WrongnumberWrongnumber,1,0.021 %
FollowupFirstnoninterested,5,0.107 %
Closednotinterested,2,0.043 %
InsufficientData,2,0.043 %
CallBackGeneral,6,0.128 %
NA,5,0.107 %
CallBackPersonal,3,0.064 %
Fraud,8,0.171 %
Language barrier,69,1.475 %
Notanswer,18,0.385 %
Callback,23,0.492 %
Switchoffoutofservicetempunavailable,4,0.085 %
CallBack,18,0.385 %
Appointment,2,0.043 %
Renew,1,0.021 %
Cold,2,0.043 %
Hot,1,0.021 %
Notinterested,110,2.351 %
Failed,93,1.988 %
NoAnswer5,33,0.705 %
Potential,19,0.406 %
Deposit,14,0.299 %
FalseNum,9,0.192 %
WRONG_INFO,1,0.021 %
FailDeposit,10,0.214 %
CONVERTED,2,0.043 %
DNC,5,0.107 %
Languagebarrier,2,0.043 %
Nointerest,7,0.150 %
Callagain,10,0.214 %
Noanswer15,17,0.363 %
Inthemoney,1,0.021 %
Wrongnumber,1,0.021 %
NoLanguage,1,0.021 %
Completed,1,0.021 %
NoMoney,1,0.021 %
UnderAge,1,0.021 %
Depositdeclined,1,0.021 %
No answer - 3,4,0.085 %
TEST,2,0.043 %
notinterested,3,0.064 %
deposit,39,0.834 %
noanswer,17,0.363 %
POTENTIAL_LOW,2,0.043 %
NO_ANSWER_4,1,0.021 %
NO_ANSWER_5,1,0.021 %
VOICEMAIL,1,0.021 %
POTENTIAL_HIGH,1,0.021 %
NOANSWER,19,0.406 %
NOINTEREST,12,0.256 %
INVALIDCOUNTRY,1,0.021 %
callback,1,0.021 %
noAnswer,21,0.449 %
no answer,377,8.057 %
new,25,0.534 %
faulty,46,0.983 %
call back,342,7.309 %
in progress,133,2.842 %
fraud,5,0.107 %
NEVERANSWER,2,0.043 %
not interested,290,6.198 %
followUp,12,0.256 %
notIntrested,1,0.021 %
NOANSWER2,1,0.021 %
expectation,1,0.021 %
NOANSWER4,1,0.021 %
no answer 3,48,1.026 %
no answer 2,46,0.983 %
No answer 1-5,45,0.962 %
Not Interested,15,0.321 %
No Language,9,0.192 %
No interest,36,0.769 %
no answer 5,151,3.227 %
Call again,27,0.577 %
No answer 5 up,3,0.064 %
no answer 4,28,0.598 %
PCA,1,0.021 %
No Answer,14,0.299 %
Wrong number or email,5,0.107 %
Low interest,13,0.278 %
Wrong Number,5,0.107 %
Intrested,3,0.064 %
Deposited !,1,0.021 %
Do Not Call,6,0.128 %
Wrong Info,1,0.021 %
No answer 1-3,24,0.513 %
no answer 7,3,0.064 %
Seg,2,0.043 %
no answer 6,1,0.021 %
B - No interest,12,0.256 %
pre deposit,1,0.021 %
FTD,1,0.021 %
R - potential Low,3,0.064 %
No Answer 4,1,0.021 %
B - Wrong number,1,0.021 %
-None-,1,0.021 %
Total,4679,100 %
