status,Amount,Rate
No answer,435,9.277 %
Call back,282,6.014 %
Wrong number,44,0.938 %
Not interested,423,9.021 %
In the money,51,1.088 %
Do not call,20,0.427 %
Pending,9,0.192 %
NO_ANSWER,23,0.491 %
FollowUp,154,3.284 %
INVALID_COUNTRY,1,0.021 %
NO_INTEREST,10,0.213 %
Noanswer5,2,0.043 %
Junk,11,0.235 %
BNointerest,3,0.064 %
Noanswer,17,0.363 %
INVALID,1,0.021 %
NoAnswer,178,3.796 %
CALLBACK,7,0.149 %
WRONG_NUMBER,5,0.107 %
NEW,469,10.002 %
DO_NOT_CALL,2,0.043 %
NO_MONEY,2,0.043 %
Noanswer13,3,0.064 %
Noanswer3,1,0.021 %
DoNotCall,21,0.448 %
New,14,0.299 %
Disqualified,41,0.874 %
Test,17,0.363 %
Noanswer2,1,0.021 %
NotInterested,35,0.746 %
Cancelled,14,0.299 %
WrongNumber,3,0.064 %
NEWNA,1,0.021 %
NEVER_ANSWER,5,0.107 %
FollowupAgentDecline,1,0.021 %
NoanswerNoanswer,6,0.128 %
WrongnumberWrongnumber,1,0.021 %
FollowupFirstnoninterested,5,0.107 %
Closednotinterested,2,0.043 %
InsufficientData,2,0.043 %
CallBackGeneral,6,0.128 %
NA,5,0.107 %
CallBackPersonal,3,0.064 %
Fraud,8,0.171 %
Language barrier,69,1.472 %
Notanswer,18,0.384 %
Callback,23,0.491 %
Switchoffoutofservicetempunavailable,4,0.085 %
CallBack,18,0.384 %
Appointment,2,0.043 %
Renew,1,0.021 %
Cold,2,0.043 %
Hot,1,0.021 %
Notinterested,110,2.346 %
Failed,93,1.983 %
NoAnswer5,33,0.704 %
Potential,19,0.405 %
Deposit,14,0.299 %
FalseNum,9,0.192 %
WRONG_INFO,1,0.021 %
FailDeposit,10,0.213 %
CONVERTED,2,0.043 %
DNC,5,0.107 %
Languagebarrier,2,0.043 %
Nointerest,7,0.149 %
Callagain,10,0.213 %
Noanswer15,17,0.363 %
Inthemoney,1,0.021 %
Wrongnumber,1,0.021 %
NoLanguage,1,0.021 %
Completed,1,0.021 %
NoMoney,1,0.021 %
UnderAge,1,0.021 %
Depositdeclined,1,0.021 %
No answer - 3,4,0.085 %
TEST,2,0.043 %
notinterested,3,0.064 %
deposit,39,0.832 %
noanswer,17,0.363 %
POTENTIAL_LOW,2,0.043 %
NO_ANSWER_4,1,0.021 %
NO_ANSWER_5,1,0.021 %
VOICEMAIL,1,0.021 %
POTENTIAL_HIGH,1,0.021 %
NOANSWER,19,0.405 %
NOINTEREST,12,0.256 %
INVALIDCOUNTRY,1,0.021 %
callback,1,0.021 %
noAnswer,21,0.448 %
no answer,377,8.040 %
new,25,0.533 %
faulty,46,0.981 %
call back,342,7.294 %
in progress,133,2.836 %
fraud,5,0.107 %
NEVERANSWER,2,0.043 %
not interested,290,6.185 %
followUp,12,0.256 %
notIntrested,1,0.021 %
NOANSWER2,1,0.021 %
expectation,1,0.021 %
NOANSWER4,1,0.021 %
no answer 3,48,1.024 %
no answer 2,46,0.981 %
No answer 1-5,45,0.960 %
Not Interested,15,0.320 %
No Language,9,0.192 %
No interest,36,0.768 %
no answer 5,151,3.220 %
Call again,27,0.576 %
No answer 5 up,3,0.064 %
no answer 4,28,0.597 %
PCA,1,0.021 %
No Answer,14,0.299 %
Wrong number or email,5,0.107 %
Low interest,13,0.277 %
Wrong Number,5,0.107 %
Intrested,3,0.064 %
Deposited !,1,0.021 %
Do Not Call,6,0.128 %
Wrong Info,1,0.021 %
No answer 1-3,24,0.512 %
no answer 7,3,0.064 %
Seg,2,0.043 %
no answer 6,1,0.021 %
B - No interest,12,0.256 %
pre deposit,1,0.021 %
FTD,1,0.021 %
R - potential Low,3,0.064 %
No Answer 4,1,0.021 %
B - Wrong number,1,0.021 %
-None-,1,0.021 %
Total,4689,100 %
