status,Amount,Rate
New,9,0.254 %
NEW,471,13.279 %
No answer,174,4.906 %
Language barrier,18,0.507 %
FollowUp,141,3.975 %
Notinterested,112,3.158 %
Not interested,124,3.496 %
Call back,106,2.988 %
Deposit,13,0.367 %
In the money,21,0.592 %
NoAnswer,124,3.496 %
NoAnswer5,30,0.846 %
No answer - 3,18,0.507 %
Failed,80,2.255 %
Disqualified,12,0.338 %
Wrong number,12,0.338 %
Do not call,4,0.113 %
FalseNum,7,0.197 %
DoNotCall,14,0.395 %
NA,6,0.169 %
WrongNumber,2,0.056 %
WRONG_INFO,1,0.028 %
NO_INTEREST,5,0.141 %
CALLBACK,4,0.113 %
Potential,18,0.507 %
FailDeposit,10,0.282 %
NO_ANSWER,9,0.254 %
CallBack,13,0.367 %
NO_MONEY,1,0.028 %
NotInterested,22,0.620 %
CONVERTED,2,0.056 %
CallBackGeneral,4,0.113 %
Noanswer,13,0.367 %
Callback,19,0.536 %
DNC,5,0.141 %
Languagebarrier,2,0.056 %
Nointerest,7,0.197 %
Callagain,10,0.282 %
Noanswer15,17,0.479 %
Junk,1,0.028 %
Inthemoney,1,0.028 %
Wrongnumber,1,0.028 %
CallBackPersonal,2,0.056 %
NoLanguage,1,0.028 %
Completed,1,0.028 %
NoMoney,1,0.028 %
UnderAge,1,0.028 %
Depositdeclined,1,0.028 %
TEST,2,0.056 %
notinterested,3,0.085 %
deposit,39,1.100 %
noanswer,17,0.479 %
POTENTIAL_LOW,2,0.056 %
NO_ANSWER_4,1,0.028 %
WRONG_NUMBER,1,0.028 %
NO_ANSWER_5,1,0.028 %
VOICEMAIL,1,0.028 %
POTENTIAL_HIGH,1,0.028 %
NOANSWER,19,0.536 %
NOINTEREST,12,0.338 %
INVALIDCOUNTRY,1,0.028 %
callback,1,0.028 %
noAnswer,21,0.592 %
no answer,377,10.629 %
new,25,0.705 %
faulty,46,1.297 %
call back,342,9.642 %
in progress,133,3.750 %
fraud,5,0.141 %
NEVERANSWER,2,0.056 %
not interested,290,8.176 %
followUp,12,0.338 %
notIntrested,1,0.028 %
NOANSWER2,1,0.028 %
expectation,1,0.028 %
NOANSWER4,1,0.028 %
no answer 3,48,1.353 %
no answer 2,46,1.297 %
Cancelled,12,0.338 %
No answer 1-5,45,1.269 %
Not Interested,15,0.423 %
No Language,9,0.254 %
No interest,36,1.015 %
no answer 5,151,4.257 %
Call again,27,0.761 %
No answer 5 up,3,0.085 %
no answer 4,28,0.789 %
PCA,1,0.028 %
No Answer,14,0.395 %
Wrong number or email,5,0.141 %
Low interest,13,0.367 %
Wrong Number,5,0.141 %
Intrested,3,0.085 %
Deposited !,1,0.028 %
Do Not Call,6,0.169 %
Wrong Info,1,0.028 %
No answer 1-3,24,0.677 %
no answer 7,3,0.085 %
Seg,2,0.056 %
no answer 6,1,0.028 %
B - No interest,12,0.338 %
pre deposit,1,0.028 %
FTD,1,0.028 %
R - potential Low,3,0.085 %
No Answer 4,1,0.028 %
B - Wrong number,1,0.028 %
-None-,1,0.028 %
Total,3547,100 %
