status,Amount,Rate
Not interested,430,9.128 %
No answer,443,9.404 %
Call back,287,6.092 %
In the money,52,1.104 %
Wrong number,45,0.955 %
Do not call,20,0.425 %
Pending,9,0.191 %
NO_ANSWER,23,0.488 %
FollowUp,154,3.269 %
INVALID_COUNTRY,1,0.021 %
NO_INTEREST,10,0.212 %
Noanswer5,2,0.042 %
Junk,11,0.233 %
BNointerest,3,0.064 %
Noanswer,17,0.361 %
INVALID,1,0.021 %
NoAnswer,178,3.778 %
CALLBACK,7,0.149 %
WRONG_NUMBER,5,0.106 %
NEW,469,9.955 %
DO_NOT_CALL,2,0.042 %
NO_MONEY,2,0.042 %
Noanswer13,3,0.064 %
Noanswer3,1,0.021 %
DoNotCall,21,0.446 %
New,14,0.297 %
Disqualified,41,0.870 %
Test,17,0.361 %
Noanswer2,1,0.021 %
NotInterested,35,0.743 %
Cancelled,14,0.297 %
WrongNumber,3,0.064 %
NEWNA,1,0.021 %
NEVER_ANSWER,5,0.106 %
FollowupAgentDecline,1,0.021 %
NoanswerNoanswer,6,0.127 %
WrongnumberWrongnumber,1,0.021 %
FollowupFirstnoninterested,5,0.106 %
Closednotinterested,2,0.042 %
InsufficientData,2,0.042 %
CallBackGeneral,6,0.127 %
NA,5,0.106 %
CallBackPersonal,3,0.064 %
Fraud,8,0.170 %
Language barrier,69,1.465 %
Notanswer,18,0.382 %
Callback,23,0.488 %
Switchoffoutofservicetempunavailable,4,0.085 %
CallBack,18,0.382 %
Appointment,2,0.042 %
Renew,1,0.021 %
Cold,2,0.042 %
Hot,1,0.021 %
Notinterested,110,2.335 %
Failed,93,1.974 %
NoAnswer5,33,0.700 %
Potential,19,0.403 %
Deposit,14,0.297 %
FalseNum,9,0.191 %
WRONG_INFO,1,0.021 %
FailDeposit,10,0.212 %
CONVERTED,2,0.042 %
DNC,5,0.106 %
Languagebarrier,2,0.042 %
Nointerest,7,0.149 %
Callagain,10,0.212 %
Noanswer15,17,0.361 %
Inthemoney,1,0.021 %
Wrongnumber,1,0.021 %
NoLanguage,1,0.021 %
Completed,1,0.021 %
NoMoney,1,0.021 %
UnderAge,1,0.021 %
Depositdeclined,1,0.021 %
No answer - 3,4,0.085 %
TEST,2,0.042 %
notinterested,3,0.064 %
deposit,39,0.828 %
noanswer,17,0.361 %
POTENTIAL_LOW,2,0.042 %
NO_ANSWER_4,1,0.021 %
NO_ANSWER_5,1,0.021 %
VOICEMAIL,1,0.021 %
POTENTIAL_HIGH,1,0.021 %
NOANSWER,19,0.403 %
NOINTEREST,12,0.255 %
INVALIDCOUNTRY,1,0.021 %
callback,1,0.021 %
noAnswer,21,0.446 %
no answer,377,8.003 %
new,25,0.531 %
faulty,46,0.976 %
call back,342,7.260 %
in progress,133,2.823 %
fraud,5,0.106 %
NEVERANSWER,2,0.042 %
not interested,290,6.156 %
followUp,12,0.255 %
notIntrested,1,0.021 %
NOANSWER2,1,0.021 %
expectation,1,0.021 %
NOANSWER4,1,0.021 %
no answer 3,48,1.019 %
no answer 2,46,0.976 %
No answer 1-5,45,0.955 %
Not Interested,15,0.318 %
No Language,9,0.191 %
No interest,36,0.764 %
no answer 5,151,3.205 %
Call again,27,0.573 %
No answer 5 up,3,0.064 %
no answer 4,28,0.594 %
PCA,1,0.021 %
No Answer,14,0.297 %
Wrong number or email,5,0.106 %
Low interest,13,0.276 %
Wrong Number,5,0.106 %
Intrested,3,0.064 %
Deposited !,1,0.021 %
Do Not Call,6,0.127 %
Wrong Info,1,0.021 %
No answer 1-3,24,0.509 %
no answer 7,3,0.064 %
Seg,2,0.042 %
no answer 6,1,0.021 %
B - No interest,12,0.255 %
pre deposit,1,0.021 %
FTD,1,0.021 %
R - potential Low,3,0.064 %
No Answer 4,1,0.021 %
B - Wrong number,1,0.021 %
-None-,1,0.021 %
Total,4711,100 %
