status,Amount,Rate
NO_ANSWER,19,0.425 %
NEW,470,10.519 %
NoAnswer,159,3.559 %
Noanswer,15,0.336 %
Pending,3,0.067 %
FollowupAgentDecline,1,0.022 %
NoanswerNoanswer,7,0.157 %
WrongnumberWrongnumber,1,0.022 %
FollowupFirstnoninterested,4,0.090 %
NotInterested,32,0.716 %
CallBackGeneral,8,0.179 %
InsufficientData,1,0.022 %
FollowUp,145,3.245 %
NA,5,0.112 %
CallBackPersonal,3,0.067 %
Not interested,370,8.281 %
Call back,253,5.662 %
No answer,385,8.617 %
Do not call,17,0.380 %
WRONG_NUMBER,3,0.067 %
NO_INTEREST,8,0.179 %
DO_NOT_CALL,1,0.022 %
CALLBACK,5,0.112 %
Fraud,8,0.179 %
Language barrier,69,1.544 %
In the money,50,1.119 %
Notanswer,18,0.403 %
Callback,23,0.515 %
Switchoffoutofservicetempunavailable,4,0.090 %
Disqualified,38,0.850 %
CallBack,18,0.403 %
Appointment,2,0.045 %
Wrong number,40,0.895 %
Renew,1,0.022 %
Cold,2,0.045 %
Hot,1,0.022 %
Junk,8,0.179 %
New,13,0.291 %
Test,16,0.358 %
Notinterested,110,2.462 %
Failed,93,2.081 %
NoAnswer5,33,0.739 %
DoNotCall,20,0.448 %
Potential,19,0.425 %
Deposit,14,0.313 %
FalseNum,9,0.201 %
WrongNumber,2,0.045 %
WRONG_INFO,1,0.022 %
FailDeposit,10,0.224 %
NO_MONEY,1,0.022 %
CONVERTED,2,0.045 %
DNC,5,0.112 %
Languagebarrier,2,0.045 %
Nointerest,7,0.157 %
Callagain,10,0.224 %
Noanswer15,17,0.380 %
Inthemoney,1,0.022 %
Wrongnumber,1,0.022 %
NoLanguage,1,0.022 %
Completed,1,0.022 %
NoMoney,1,0.022 %
UnderAge,1,0.022 %
Depositdeclined,1,0.022 %
No answer - 3,4,0.090 %
TEST,2,0.045 %
notinterested,3,0.067 %
deposit,39,0.873 %
noanswer,17,0.380 %
POTENTIAL_LOW,2,0.045 %
NO_ANSWER_4,1,0.022 %
NO_ANSWER_5,1,0.022 %
VOICEMAIL,1,0.022 %
POTENTIAL_HIGH,1,0.022 %
NOANSWER,19,0.425 %
NOINTEREST,12,0.269 %
INVALIDCOUNTRY,1,0.022 %
callback,1,0.022 %
noAnswer,21,0.470 %
no answer,377,8.438 %
new,25,0.560 %
faulty,46,1.030 %
call back,342,7.654 %
in progress,133,2.977 %
fraud,5,0.112 %
NEVERANSWER,2,0.045 %
not interested,290,6.491 %
followUp,12,0.269 %
notIntrested,1,0.022 %
NOANSWER2,1,0.022 %
expectation,1,0.022 %
NOANSWER4,1,0.022 %
no answer 3,48,1.074 %
no answer 2,46,1.030 %
Cancelled,12,0.269 %
No answer 1-5,45,1.007 %
Not Interested,15,0.336 %
No Language,9,0.201 %
No interest,36,0.806 %
no answer 5,151,3.380 %
Call again,27,0.604 %
No answer 5 up,3,0.067 %
no answer 4,28,0.627 %
PCA,1,0.022 %
No Answer,14,0.313 %
Wrong number or email,5,0.112 %
Low interest,13,0.291 %
Wrong Number,5,0.112 %
Intrested,3,0.067 %
Deposited !,1,0.022 %
Do Not Call,6,0.134 %
Wrong Info,1,0.022 %
No answer 1-3,24,0.537 %
no answer 7,3,0.067 %
Seg,2,0.045 %
no answer 6,1,0.022 %
B - No interest,12,0.269 %
pre deposit,1,0.022 %
FTD,1,0.022 %
R - potential Low,3,0.067 %
No Answer 4,1,0.022 %
B - Wrong number,1,0.022 %
-None-,1,0.022 %
Total,4468,100 %
