status,Amount,Rate
No answer,416,9.546 %
Call back,265,6.081 %
Language barrier,51,1.170 %
Not interested,312,7.159 %
CallBack,19,0.436 %
NoAnswer,136,3.121 %
New,31,0.711 %
Notanswer,16,0.367 %
Disqualified,37,0.849 %
Callback,22,0.505 %
Appointment,4,0.092 %
Wrong number,40,0.918 %
Fraud,7,0.161 %
Do not call,12,0.275 %
Cold,2,0.046 %
Hot,1,0.023 %
Switchoffoutofservicetempunavailable,1,0.023 %
In the money,46,1.056 %
Junk,7,0.161 %
Test,16,0.367 %
Notinterested,110,2.524 %
Failed,93,2.134 %
FollowUp,143,3.281 %
NoAnswer5,33,0.757 %
DoNotCall,20,0.459 %
Potential,19,0.436 %
Deposit,14,0.321 %
FalseNum,9,0.207 %
WrongNumber,2,0.046 %
NA,4,0.092 %
WRONG_INFO,1,0.023 %
NO_INTEREST,5,0.115 %
CALLBACK,4,0.092 %
FailDeposit,10,0.229 %
NEW,468,10.739 %
NO_ANSWER,9,0.207 %
NO_MONEY,1,0.023 %
NotInterested,22,0.505 %
CONVERTED,2,0.046 %
CallBackGeneral,4,0.092 %
Noanswer,13,0.298 %
DNC,5,0.115 %
Languagebarrier,2,0.046 %
Nointerest,7,0.161 %
Callagain,10,0.229 %
Noanswer15,17,0.390 %
Inthemoney,1,0.023 %
Wrongnumber,1,0.023 %
CallBackPersonal,2,0.046 %
NoLanguage,1,0.023 %
Completed,1,0.023 %
NoMoney,1,0.023 %
UnderAge,1,0.023 %
Depositdeclined,1,0.023 %
No answer - 3,4,0.092 %
TEST,2,0.046 %
notinterested,3,0.069 %
deposit,39,0.895 %
noanswer,17,0.390 %
POTENTIAL_LOW,2,0.046 %
NO_ANSWER_4,1,0.023 %
WRONG_NUMBER,1,0.023 %
NO_ANSWER_5,1,0.023 %
VOICEMAIL,1,0.023 %
POTENTIAL_HIGH,1,0.023 %
NOANSWER,19,0.436 %
NOINTEREST,12,0.275 %
INVALIDCOUNTRY,1,0.023 %
callback,1,0.023 %
noAnswer,21,0.482 %
no answer,377,8.651 %
new,25,0.574 %
faulty,46,1.056 %
call back,342,7.848 %
in progress,133,3.052 %
fraud,5,0.115 %
NEVERANSWER,2,0.046 %
not interested,290,6.654 %
followUp,12,0.275 %
notIntrested,1,0.023 %
NOANSWER2,1,0.023 %
expectation,1,0.023 %
NOANSWER4,1,0.023 %
no answer 3,48,1.101 %
no answer 2,46,1.056 %
Cancelled,12,0.275 %
No answer 1-5,45,1.033 %
Not Interested,15,0.344 %
No Language,9,0.207 %
No interest,36,0.826 %
no answer 5,151,3.465 %
Call again,27,0.620 %
No answer 5 up,3,0.069 %
no answer 4,28,0.642 %
PCA,1,0.023 %
No Answer,14,0.321 %
Wrong number or email,5,0.115 %
Low interest,13,0.298 %
Wrong Number,5,0.115 %
Intrested,3,0.069 %
Deposited !,1,0.023 %
Do Not Call,6,0.138 %
Wrong Info,1,0.023 %
No answer 1-3,24,0.551 %
no answer 7,3,0.069 %
Seg,2,0.046 %
no answer 6,1,0.023 %
B - No interest,12,0.275 %
pre deposit,1,0.023 %
FTD,1,0.023 %
R - potential Low,3,0.069 %
No Answer 4,1,0.023 %
B - Wrong number,1,0.023 %
-None-,1,0.023 %
Total,4358,100 %
