status,Amount,Rate
No answer,380,8.688 %
Do not call,15,0.343 %
In the money,50,1.143 %
Not interested,366,8.368 %
Language barrier,68,1.555 %
Notanswer,18,0.412 %
Callback,23,0.526 %
Switchoffoutofservicetempunavailable,4,0.091 %
Call back,250,5.716 %
Disqualified,38,0.869 %
NoAnswer,137,3.132 %
CallBack,18,0.412 %
Appointment,2,0.046 %
Wrong number,40,0.914 %
Renew,1,0.023 %
Fraud,7,0.160 %
Cold,2,0.046 %
Hot,1,0.023 %
Junk,8,0.183 %
New,13,0.297 %
Test,16,0.366 %
Notinterested,110,2.515 %
Failed,93,2.126 %
FollowUp,143,3.269 %
NoAnswer5,33,0.754 %
DoNotCall,20,0.457 %
Potential,19,0.434 %
Deposit,14,0.320 %
FalseNum,9,0.206 %
WrongNumber,2,0.046 %
NA,4,0.091 %
WRONG_INFO,1,0.023 %
NO_INTEREST,5,0.114 %
CALLBACK,4,0.091 %
FailDeposit,10,0.229 %
NEW,468,10.700 %
NO_ANSWER,9,0.206 %
NO_MONEY,1,0.023 %
NotInterested,22,0.503 %
CONVERTED,2,0.046 %
CallBackGeneral,4,0.091 %
Noanswer,13,0.297 %
DNC,5,0.114 %
Languagebarrier,2,0.046 %
Nointerest,7,0.160 %
Callagain,10,0.229 %
Noanswer15,17,0.389 %
Inthemoney,1,0.023 %
Wrongnumber,1,0.023 %
CallBackPersonal,2,0.046 %
NoLanguage,1,0.023 %
Completed,1,0.023 %
NoMoney,1,0.023 %
UnderAge,1,0.023 %
Depositdeclined,1,0.023 %
No answer - 3,4,0.091 %
TEST,2,0.046 %
notinterested,3,0.069 %
deposit,39,0.892 %
noanswer,17,0.389 %
POTENTIAL_LOW,2,0.046 %
NO_ANSWER_4,1,0.023 %
WRONG_NUMBER,1,0.023 %
NO_ANSWER_5,1,0.023 %
VOICEMAIL,1,0.023 %
POTENTIAL_HIGH,1,0.023 %
NOANSWER,19,0.434 %
NOINTEREST,12,0.274 %
INVALIDCOUNTRY,1,0.023 %
callback,1,0.023 %
noAnswer,21,0.480 %
no answer,377,8.619 %
new,25,0.572 %
faulty,46,1.052 %
call back,342,7.819 %
in progress,133,3.041 %
fraud,5,0.114 %
NEVERANSWER,2,0.046 %
not interested,290,6.630 %
followUp,12,0.274 %
notIntrested,1,0.023 %
NOANSWER2,1,0.023 %
expectation,1,0.023 %
NOANSWER4,1,0.023 %
no answer 3,48,1.097 %
no answer 2,46,1.052 %
Cancelled,12,0.274 %
No answer 1-5,45,1.029 %
Not Interested,15,0.343 %
No Language,9,0.206 %
No interest,36,0.823 %
no answer 5,151,3.452 %
Call again,27,0.617 %
No answer 5 up,3,0.069 %
no answer 4,28,0.640 %
PCA,1,0.023 %
No Answer,14,0.320 %
Wrong number or email,5,0.114 %
Low interest,13,0.297 %
Wrong Number,5,0.114 %
Intrested,3,0.069 %
Deposited !,1,0.023 %
Do Not Call,6,0.137 %
Wrong Info,1,0.023 %
No answer 1-3,24,0.549 %
no answer 7,3,0.069 %
Seg,2,0.046 %
no answer 6,1,0.023 %
B - No interest,12,0.274 %
pre deposit,1,0.023 %
FTD,1,0.023 %
R - potential Low,3,0.069 %
No Answer 4,1,0.023 %
B - Wrong number,1,0.023 %
-None-,1,0.023 %
Total,4374,100 %
