status,Amount,Rate
No answer,414,8.973 %
Call back,267,5.787 %
Pending,9,0.195 %
NO_ANSWER,17,0.368 %
Not interested,389,8.431 %
FollowUp,154,3.338 %
NEW,476,10.316 %
INVALID_COUNTRY,1,0.022 %
Noanswer,18,0.390 %
Junk,11,0.238 %
Wrong number,41,0.889 %
BNointerest,3,0.065 %
Noanswer5,1,0.022 %
INVALID,1,0.022 %
NoAnswer,178,3.858 %
CALLBACK,7,0.152 %
WRONG_NUMBER,5,0.108 %
DO_NOT_CALL,2,0.043 %
NO_MONEY,2,0.043 %
Noanswer13,3,0.065 %
Noanswer3,1,0.022 %
DoNotCall,21,0.455 %
New,14,0.303 %
Disqualified,41,0.889 %
Test,17,0.368 %
Noanswer2,1,0.022 %
Do not call,19,0.412 %
NotInterested,35,0.759 %
Cancelled,14,0.303 %
WrongNumber,3,0.065 %
NEWNA,1,0.022 %
NO_INTEREST,9,0.195 %
NEVER_ANSWER,5,0.108 %
FollowupAgentDecline,1,0.022 %
NoanswerNoanswer,6,0.130 %
WrongnumberWrongnumber,1,0.022 %
FollowupFirstnoninterested,5,0.108 %
Closednotinterested,2,0.043 %
InsufficientData,2,0.043 %
CallBackGeneral,6,0.130 %
NA,5,0.108 %
CallBackPersonal,3,0.065 %
Fraud,8,0.173 %
Language barrier,69,1.495 %
In the money,50,1.084 %
Notanswer,18,0.390 %
Callback,23,0.498 %
Switchoffoutofservicetempunavailable,4,0.087 %
CallBack,18,0.390 %
Appointment,2,0.043 %
Renew,1,0.022 %
Cold,2,0.043 %
Hot,1,0.022 %
Notinterested,110,2.384 %
Failed,93,2.016 %
NoAnswer5,33,0.715 %
Potential,19,0.412 %
Deposit,14,0.303 %
FalseNum,9,0.195 %
WRONG_INFO,1,0.022 %
FailDeposit,10,0.217 %
CONVERTED,2,0.043 %
DNC,5,0.108 %
Languagebarrier,2,0.043 %
Nointerest,7,0.152 %
Callagain,10,0.217 %
Noanswer15,17,0.368 %
Inthemoney,1,0.022 %
Wrongnumber,1,0.022 %
NoLanguage,1,0.022 %
Completed,1,0.022 %
NoMoney,1,0.022 %
UnderAge,1,0.022 %
Depositdeclined,1,0.022 %
No answer - 3,4,0.087 %
TEST,2,0.043 %
notinterested,3,0.065 %
deposit,39,0.845 %
noanswer,17,0.368 %
POTENTIAL_LOW,2,0.043 %
NO_ANSWER_4,1,0.022 %
NO_ANSWER_5,1,0.022 %
VOICEMAIL,1,0.022 %
POTENTIAL_HIGH,1,0.022 %
NOANSWER,19,0.412 %
NOINTEREST,12,0.260 %
INVALIDCOUNTRY,1,0.022 %
callback,1,0.022 %
noAnswer,21,0.455 %
no answer,377,8.171 %
new,25,0.542 %
faulty,46,0.997 %
call back,342,7.412 %
in progress,133,2.883 %
fraud,5,0.108 %
NEVERANSWER,2,0.043 %
not interested,290,6.285 %
followUp,12,0.260 %
notIntrested,1,0.022 %
NOANSWER2,1,0.022 %
expectation,1,0.022 %
NOANSWER4,1,0.022 %
no answer 3,48,1.040 %
no answer 2,46,0.997 %
No answer 1-5,45,0.975 %
Not Interested,15,0.325 %
No Language,9,0.195 %
No interest,36,0.780 %
no answer 5,151,3.273 %
Call again,27,0.585 %
No answer 5 up,3,0.065 %
no answer 4,28,0.607 %
PCA,1,0.022 %
No Answer,14,0.303 %
Wrong number or email,5,0.108 %
Low interest,13,0.282 %
Wrong Number,5,0.108 %
Intrested,3,0.065 %
Deposited !,1,0.022 %
Do Not Call,6,0.130 %
Wrong Info,1,0.022 %
No answer 1-3,24,0.520 %
no answer 7,3,0.065 %
Seg,2,0.043 %
no answer 6,1,0.022 %
B - No interest,12,0.260 %
pre deposit,1,0.022 %
FTD,1,0.022 %
R - potential Low,3,0.065 %
No Answer 4,1,0.022 %
B - Wrong number,1,0.022 %
-None-,1,0.022 %
Total,4614,100 %
