status,Amount,Rate
Call back,276,5.939 %
No answer,425,9.146 %
Not interested,401,8.629 %
Do not call,20,0.430 %
Pending,9,0.194 %
NO_ANSWER,23,0.495 %
FollowUp,154,3.314 %
INVALID_COUNTRY,1,0.022 %
NO_INTEREST,10,0.215 %
Noanswer5,2,0.043 %
Junk,11,0.237 %
Wrong number,41,0.882 %
BNointerest,3,0.065 %
Noanswer,17,0.366 %
INVALID,1,0.022 %
NoAnswer,178,3.830 %
CALLBACK,7,0.151 %
WRONG_NUMBER,5,0.108 %
NEW,469,10.093 %
DO_NOT_CALL,2,0.043 %
NO_MONEY,2,0.043 %
Noanswer13,3,0.065 %
Noanswer3,1,0.022 %
DoNotCall,21,0.452 %
New,14,0.301 %
Disqualified,41,0.882 %
Test,17,0.366 %
Noanswer2,1,0.022 %
NotInterested,35,0.753 %
Cancelled,14,0.301 %
WrongNumber,3,0.065 %
NEWNA,1,0.022 %
NEVER_ANSWER,5,0.108 %
FollowupAgentDecline,1,0.022 %
NoanswerNoanswer,6,0.129 %
WrongnumberWrongnumber,1,0.022 %
FollowupFirstnoninterested,5,0.108 %
Closednotinterested,2,0.043 %
InsufficientData,2,0.043 %
CallBackGeneral,6,0.129 %
NA,5,0.108 %
CallBackPersonal,3,0.065 %
Fraud,8,0.172 %
Language barrier,69,1.485 %
In the money,50,1.076 %
Notanswer,18,0.387 %
Callback,23,0.495 %
Switchoffoutofservicetempunavailable,4,0.086 %
CallBack,18,0.387 %
Appointment,2,0.043 %
Renew,1,0.022 %
Cold,2,0.043 %
Hot,1,0.022 %
Notinterested,110,2.367 %
Failed,93,2.001 %
NoAnswer5,33,0.710 %
Potential,19,0.409 %
Deposit,14,0.301 %
FalseNum,9,0.194 %
WRONG_INFO,1,0.022 %
FailDeposit,10,0.215 %
CONVERTED,2,0.043 %
DNC,5,0.108 %
Languagebarrier,2,0.043 %
Nointerest,7,0.151 %
Callagain,10,0.215 %
Noanswer15,17,0.366 %
Inthemoney,1,0.022 %
Wrongnumber,1,0.022 %
NoLanguage,1,0.022 %
Completed,1,0.022 %
NoMoney,1,0.022 %
UnderAge,1,0.022 %
Depositdeclined,1,0.022 %
No answer - 3,4,0.086 %
TEST,2,0.043 %
notinterested,3,0.065 %
deposit,39,0.839 %
noanswer,17,0.366 %
POTENTIAL_LOW,2,0.043 %
NO_ANSWER_4,1,0.022 %
NO_ANSWER_5,1,0.022 %
VOICEMAIL,1,0.022 %
POTENTIAL_HIGH,1,0.022 %
NOANSWER,19,0.409 %
NOINTEREST,12,0.258 %
INVALIDCOUNTRY,1,0.022 %
callback,1,0.022 %
noAnswer,21,0.452 %
no answer,377,8.113 %
new,25,0.538 %
faulty,46,0.990 %
call back,342,7.360 %
in progress,133,2.862 %
fraud,5,0.108 %
NEVERANSWER,2,0.043 %
not interested,290,6.241 %
followUp,12,0.258 %
notIntrested,1,0.022 %
NOANSWER2,1,0.022 %
expectation,1,0.022 %
NOANSWER4,1,0.022 %
no answer 3,48,1.033 %
no answer 2,46,0.990 %
No answer 1-5,45,0.968 %
Not Interested,15,0.323 %
No Language,9,0.194 %
No interest,36,0.775 %
no answer 5,151,3.249 %
Call again,27,0.581 %
No answer 5 up,3,0.065 %
no answer 4,28,0.603 %
PCA,1,0.022 %
No Answer,14,0.301 %
Wrong number or email,5,0.108 %
Low interest,13,0.280 %
Wrong Number,5,0.108 %
Intrested,3,0.065 %
Deposited !,1,0.022 %
Do Not Call,6,0.129 %
Wrong Info,1,0.022 %
No answer 1-3,24,0.516 %
no answer 7,3,0.065 %
Seg,2,0.043 %
no answer 6,1,0.022 %
B - No interest,12,0.258 %
pre deposit,1,0.022 %
FTD,1,0.022 %
R - potential Low,3,0.065 %
No Answer 4,1,0.022 %
B - Wrong number,1,0.022 %
-None-,1,0.022 %
Total,4647,100 %
