status,Amount,Rate
NEW,475,11.129 %
New,19,0.445 %
new,41,0.961 %
No answer,420,9.841 %
Language barrier,62,1.453 %
Not interested,274,6.420 %
Call back,252,5.904 %
Wrong number,32,0.750 %
Notanswer,3,0.070 %
In the money,44,1.031 %
Callback,20,0.469 %
Fraud,6,0.141 %
Junk,7,0.164 %
Disqualified,28,0.656 %
Test,16,0.375 %
NoAnswer,124,2.905 %
Do not call,8,0.187 %
Notinterested,110,2.577 %
Failed,93,2.179 %
FollowUp,143,3.351 %
NoAnswer5,33,0.773 %
DoNotCall,20,0.469 %
Potential,19,0.445 %
Deposit,14,0.328 %
FalseNum,9,0.211 %
WrongNumber,2,0.047 %
NA,4,0.094 %
WRONG_INFO,1,0.023 %
NO_INTEREST,5,0.117 %
CALLBACK,4,0.094 %
FailDeposit,10,0.234 %
NO_ANSWER,9,0.211 %
CallBack,13,0.305 %
NO_MONEY,1,0.023 %
NotInterested,22,0.515 %
CONVERTED,2,0.047 %
CallBackGeneral,4,0.094 %
Noanswer,13,0.305 %
DNC,5,0.117 %
Languagebarrier,2,0.047 %
Nointerest,7,0.164 %
Callagain,10,0.234 %
Noanswer15,17,0.398 %
Inthemoney,1,0.023 %
Wrongnumber,1,0.023 %
CallBackPersonal,2,0.047 %
NoLanguage,1,0.023 %
Completed,1,0.023 %
NoMoney,1,0.023 %
UnderAge,1,0.023 %
Depositdeclined,1,0.023 %
No answer - 3,4,0.094 %
TEST,2,0.047 %
notinterested,3,0.070 %
deposit,39,0.914 %
noanswer,17,0.398 %
POTENTIAL_LOW,2,0.047 %
NO_ANSWER_4,1,0.023 %
WRONG_NUMBER,1,0.023 %
NO_ANSWER_5,1,0.023 %
VOICEMAIL,1,0.023 %
POTENTIAL_HIGH,1,0.023 %
NOANSWER,19,0.445 %
NOINTEREST,12,0.281 %
INVALIDCOUNTRY,1,0.023 %
callback,1,0.023 %
noAnswer,21,0.492 %
no answer,377,8.833 %
faulty,46,1.078 %
call back,342,8.013 %
in progress,133,3.116 %
fraud,5,0.117 %
NEVERANSWER,2,0.047 %
not interested,290,6.795 %
followUp,12,0.281 %
notIntrested,1,0.023 %
NOANSWER2,1,0.023 %
expectation,1,0.023 %
NOANSWER4,1,0.023 %
no answer 3,48,1.125 %
no answer 2,46,1.078 %
Cancelled,12,0.281 %
No answer 1-5,45,1.054 %
Not Interested,15,0.351 %
No Language,9,0.211 %
No interest,36,0.843 %
no answer 5,151,3.538 %
Call again,27,0.633 %
No answer 5 up,3,0.070 %
no answer 4,28,0.656 %
PCA,1,0.023 %
No Answer,14,0.328 %
Wrong number or email,5,0.117 %
Low interest,13,0.305 %
Wrong Number,5,0.117 %
Intrested,3,0.070 %
Deposited !,1,0.023 %
Do Not Call,6,0.141 %
Wrong Info,1,0.023 %
No answer 1-3,24,0.562 %
no answer 7,3,0.070 %
Seg,2,0.047 %
no answer 6,1,0.023 %
B - No interest,12,0.281 %
pre deposit,1,0.023 %
FTD,1,0.023 %
R - potential Low,3,0.070 %
No Answer 4,1,0.023 %
B - Wrong number,1,0.023 %
-None-,1,0.023 %
Total,4268,100 %
