status,Amount,Rate
No answer,189,5.284 %
Call back,115,3.215 %
Not interested,131,3.662 %
NoAnswer,127,3.550 %
Potential,20,0.559 %
In the money,24,0.671 %
Notinterested,113,3.159 %
Failed,81,2.264 %
FollowUp,142,3.970 %
Language barrier,19,0.531 %
DoNotCall,16,0.447 %
Deposit,13,0.363 %
New,7,0.196 %
NEW,469,13.112 %
FalseNum,9,0.252 %
NoAnswer5,30,0.839 %
Disqualified,13,0.363 %
Wrong number,14,0.391 %
Do not call,4,0.112 %
WrongNumber,2,0.056 %
NA,4,0.112 %
WRONG_INFO,1,0.028 %
NO_INTEREST,5,0.140 %
CALLBACK,4,0.112 %
FailDeposit,10,0.280 %
NO_ANSWER,9,0.252 %
CallBack,13,0.363 %
NO_MONEY,1,0.028 %
NotInterested,22,0.615 %
CONVERTED,2,0.056 %
CallBackGeneral,4,0.112 %
Noanswer,13,0.363 %
Callback,19,0.531 %
DNC,5,0.140 %
Languagebarrier,2,0.056 %
Nointerest,7,0.196 %
Callagain,10,0.280 %
Noanswer15,17,0.475 %
Junk,1,0.028 %
Inthemoney,1,0.028 %
Wrongnumber,1,0.028 %
CallBackPersonal,2,0.056 %
NoLanguage,1,0.028 %
Completed,1,0.028 %
NoMoney,1,0.028 %
UnderAge,1,0.028 %
Depositdeclined,1,0.028 %
No answer - 3,4,0.112 %
TEST,2,0.056 %
notinterested,3,0.084 %
deposit,39,1.090 %
noanswer,17,0.475 %
POTENTIAL_LOW,2,0.056 %
NO_ANSWER_4,1,0.028 %
WRONG_NUMBER,1,0.028 %
NO_ANSWER_5,1,0.028 %
VOICEMAIL,1,0.028 %
POTENTIAL_HIGH,1,0.028 %
NOANSWER,19,0.531 %
NOINTEREST,12,0.335 %
INVALIDCOUNTRY,1,0.028 %
callback,1,0.028 %
noAnswer,21,0.587 %
no answer,377,10.540 %
new,25,0.699 %
faulty,46,1.286 %
call back,342,9.561 %
in progress,133,3.718 %
fraud,5,0.140 %
NEVERANSWER,2,0.056 %
not interested,290,8.107 %
followUp,12,0.335 %
notIntrested,1,0.028 %
NOANSWER2,1,0.028 %
expectation,1,0.028 %
NOANSWER4,1,0.028 %
no answer 3,48,1.342 %
no answer 2,46,1.286 %
Cancelled,12,0.335 %
No answer 1-5,45,1.258 %
Not Interested,15,0.419 %
No Language,9,0.252 %
No interest,36,1.006 %
no answer 5,151,4.221 %
Call again,27,0.755 %
No answer 5 up,3,0.084 %
no answer 4,28,0.783 %
PCA,1,0.028 %
No Answer,14,0.391 %
Wrong number or email,5,0.140 %
Low interest,13,0.363 %
Wrong Number,5,0.140 %
Intrested,3,0.084 %
Deposited !,1,0.028 %
Do Not Call,6,0.168 %
Wrong Info,1,0.028 %
No answer 1-3,24,0.671 %
no answer 7,3,0.084 %
Seg,2,0.056 %
no answer 6,1,0.028 %
B - No interest,12,0.335 %
pre deposit,1,0.028 %
FTD,1,0.028 %
R - potential Low,3,0.084 %
No Answer 4,1,0.028 %
B - Wrong number,1,0.028 %
-None-,1,0.028 %
Total,3577,100 %
